2015_09_01,0.769,0.525,0.65,0.864,0.321,0.592,0,1,0,0,-1,0
2015_09_02,0.677,0.493,0.578,0.889,0.395,0.648,1,0,0,0,-1,0
2015_09_03,0.632,0.474,0.566,0.778,0.358,0.576,0,1,0,0,-1,0
2015_09_04,0.662,0.484,0.56,0.63,0.21,0.459,0,0,1,0,-1,0
2015_09_05,0.6,0.449,0.521,0.716,0.296,0.512,0,0,0,1,-1,0
2015_09_06,0.564,0.413,0.49,0.877,0.321,0.54,0,0,1,0,-1,0
2015_09_07,0.61,0.381,0.498,0.716,0.321,0.531,0,0,1,0,-1,0
2015_09_08,0.685,0.392,0.527,0.827,0.272,0.577,0,1,0,0,-1,0
2015_09_09,0.683,0.369,0.523,0.741,0.259,0.528,0,1,0,0,-1,0
2015_09_10,0.66,0.367,0.513,0.753,0.272,0.534,0,0,1,0,-1,0
2015_09_11,0.716,0.394,0.558,0.728,0.235,0.506,0,1,0,0,-1,0
2015_09_12,0.807,0.504,0.636,0.914,0.16,0.54,0,0,1,0,-1,0
2015_09_13,0.769,0.528,0.637,0.926,0.321,0.666,0,1,0,0,-1,0
2015_09_14,0.678,0.482,0.571,0.926,0.321,0.644,0,0,1,0,-1,0
2015_09_15,0.629,0.417,0.535,0.728,0.321,0.546,0,0,0,1,-1,0
2015_09_16,0.793,0.513,0.615,0.679,0.296,0.575,0,0,1,0,-1,0
2015_09_17,0.649,0.465,0.547,0.963,0.296,0.681,0,0,1,0,-1,0
2015_09_18,0.633,0.415,0.527,0.815,0.333,0.597,0,0,1,0,-1,0
2015_09_19,0.557,0.428,0.501,0.79,0.593,0.678,0,1,0,0,-1,0
2015_09_20,0.597,0.426,0.496,0.889,0.432,0.701,1,0,0,0,-1,0
2015_09_21,0.649,0.366,0.516,0.951,0.37,0.652,0,0,1,0,-1,0
2015_09_22,0.628,0.45,0.531,0.778,0.383,0.621,0,1,0,0,-1,0
2015_09_23,0.513,0.398,0.459,0.778,0.556,0.673,0,0,1,0,-1,0
2015_09_24,0.611,0.437,0.51,0.802,0.346,0.594,0,0,1,0,-1,0
2015_09_25,0.635,0.403,0.516,0.802,0.395,0.617,1,0,0,0,-1,0
2015_09_26,0.65,0.43,0.52,0.938,0.37,0.692,1,0,0,0,-1,0
2015_09_27,0.622,0.358,0.479,0.926,0.296,0.622,0,0,1,0,-1,0
2015_09_28,0.588,0.278,0.435,0.926,0.247,0.587,0,0,1,0,-1,0
2015_09_29,0.593,0.262,0.446,0.914,0.272,0.534,0,0,1,0,-1,0
2015_09_30,0.599,0.304,0.444,0.877,0.284,0.572,0,0,0,1,-1,0
2015_10_01,0.589,0.281,0.422,0.864,0.346,0.624,0,0,1,0,-0.866,0.5
2015_10_02,0.628,0.328,0.476,0.901,0.358,0.652,0,1,0,0,-0.866,0.5
2015_10_03,0.652,0.434,0.54,0.852,0.432,0.645,1,0,0,0,-0.866,0.5
2015_10_04,0.59,0.44,0.509,0.951,0.469,0.665,1,0,0,0,-0.866,0.5
2015_10_05,0.679,0.417,0.545,0.864,0.296,0.661,0,1,0,0,-0.866,0.5
2015_10_06,0.725,0.474,0.574,0.926,0.395,0.754,0,1,0,0,-0.866,0.5
2015_10_07,0.584,0.468,0.519,0.802,0.444,0.656,0,0,1,0,-0.866,0.5
2015_10_08,0.572,0.424,0.488,0.802,0.432,0.62,0,1,0,0,-0.866,0.5
2015_10_09,0.602,0.404,0.49,0.877,0.494,0.72,1,0,0,0,-0.866,0.5
2015_10_10,0.587,0.382,0.458,0.951,0.494,0.785,0,1,0,0,-0.866,0.5
2015_10_11,0.574,0.346,0.445,0.938,0.432,0.722,0,1,0,0,-0.866,0.5
2015_10_12,0.528,0.296,0.416,0.864,0.457,0.629,1,0,0,0,-0.866,0.5
2015_10_13,0.507,0.323,0.409,0.827,0.346,0.626,0,0,0,1,-0.866,0.5
2015_10_14,0.407,0.262,0.336,0.802,0.519,0.671,0,0,1,0,-0.866,0.5
2015_10_15,0.385,0.26,0.313,0.914,0.642,0.794,1,0,0,0,-0.866,0.5
2015_10_16,0.435,0.28,0.349,0.926,0.358,0.657,0,1,0,0,-0.866,0.5
2015_10_17,0.444,0.281,0.356,0.79,0.407,0.617,0,1,0,0,-0.866,0.5
2015_10_18,0.472,0.35,0.393,0.827,0.519,0.713,1,0,0,0,-0.866,0.5
2015_10_19,0.453,0.29,0.366,0.84,0.506,0.675,1,0,0,0,-0.866,0.5
2015_10_20,0.484,0.23,0.35,0.926,0.432,0.73,0,1,0,0,-0.866,0.5
2015_10_21,0.485,0.349,0.414,0.778,0.506,0.635,0,0,1,0,-0.866,0.5
2015_10_22,0.468,0.352,0.413,0.877,0.543,0.716,0,1,0,0,-0.866,0.5
2015_10_23,0.558,0.406,0.458,0.877,0.556,0.742,1,0,0,0,-0.866,0.5
2015_10_24,0.643,0.325,0.487,0.938,0.432,0.658,0,1,0,0,-0.866,0.5
2015_10_25,0.59,0.426,0.517,0.926,0.494,0.682,0,1,0,0,-0.866,0.5
2015_10_26,0.588,0.374,0.473,0.926,0.469,0.73,0,1,0,0,-0.866,0.5
2015_10_27,0.586,0.389,0.475,0.926,0.358,0.685,0,1,0,0,-0.866,0.5
2015_10_28,0.633,0.427,0.508,0.914,0.42,0.622,0,1,0,0,-0.866,0.5
2015_10_29,0.539,0.396,0.465,0.852,0.556,0.735,0,0,1,0,-0.866,0.5
2015_10_30,0.572,0.371,0.445,0.914,0.519,0.765,0,0,1,0,-0.866,0.5
2015_10_31,0.57,0.386,0.459,0.963,0.506,0.772,1,0,0,0,-0.866,0.5
2015_11_01,0.555,0.338,0.437,0.951,0.457,0.78,1,0,0,0,-0.5,0.866
2015_11_02,0.532,0.282,0.414,0.877,0.358,0.632,1,0,0,0,-0.5,0.866
2015_11_03,0.526,0.27,0.416,0.864,0.383,0.618,0,1,0,0,-0.5,0.866
2015_11_04,0.606,0.393,0.482,0.778,0.42,0.634,0,0,1,0,-0.5,0.866
2015_11_05,0.604,0.424,0.48,0.765,0.407,0.587,0,0,1,0,-0.5,0.866
2015_11_06,0.641,0.395,0.508,0.815,0.506,0.642,0,0,0,1,-0.5,0.866
2015_11_07,0.663,0.495,0.565,0.889,0.543,0.707,0,0,0,1,-0.5,0.866
2015_11_08,0.668,0.488,0.551,0.889,0.272,0.609,0,0,1,0,-0.5,0.866
2015_11_09,0.637,0.459,0.535,0.864,0.42,0.627,0,0,0,1,-0.5,0.866
2015_11_10,0.54,0.333,0.464,0.889,0.494,0.747,0,0,0,1,-0.5,0.866
2015_11_11,0.528,0.305,0.41,0.704,0,0.454,0,0,0,1,-0.5,0.866
2015_11_12,0.52,0.372,0.427,0.765,0.37,0.615,0,0,1,0,-0.5,0.866
2015_11_13,0.541,0.377,0.452,0.765,0.494,0.646,0,0,0,1,-0.5,0.866
2015_11_14,0.465,0.334,0.413,0.914,0.42,0.652,0,0,0,1,-0.5,0.866
2015_11_15,0.591,0.375,0.471,0.605,0.16,0.382,0,0,0,1,-0.5,0.866
2015_11_16,0.571,0.367,0.444,0.691,0.259,0.447,0,0,0,1,-0.5,0.866
2015_11_17,0.56,0.352,0.478,0.741,0.42,0.623,0,0,0,1,-0.5,0.866
2015_11_18,0.552,0.412,0.485,0.802,0.457,0.664,0,0,0,1,-0.5,0.866
2015_11_19,0.561,0.437,0.5,0.753,0.494,0.628,0,0,0,1,-0.5,0.866
2015_11_20,0.546,0.337,0.496,0.926,0.519,0.739,0,0,0,1,-0.5,0.866
2015_11_21,0.346,0.221,0.296,0.926,0.617,0.754,0,0,0,1,-0.5,0.866
2015_11_22,0.295,0.22,0.247,0.889,0.543,0.763,0,0,1,0,-0.5,0.866
2015_11_23,0.287,0.19,0.228,0.951,0.642,0.814,0,1,0,0,-0.5,0.866
2015_11_24,0.328,0.172,0.241,0.889,0.432,0.669,0,0,0,1,-0.5,0.866
2015_11_25,0.354,0.266,0.305,0.877,0.63,0.745,0,0,0,1,-0.5,0.866
2015_11_26,0.322,0.267,0.289,0.889,0.704,0.822,0,1,0,0,-0.5,0.866
2015_11_27,0.297,0.176,0.242,0.926,0.654,0.774,0,0,1,0,-0.5,0.866
2015_11_28,0.327,0.184,0.257,0.901,0.654,0.781,0,0,0,1,-0.5,0.866
2015_11_29,0.419,0.253,0.346,0.753,0.642,0.69,0,0,0,1,-0.5,0.866
2015_11_30,0.461,0.385,0.416,0.753,0.617,0.688,0,0,0,1,-0.5,0.866
2015_12_01,0.462,0.35,0.411,0.84,0.617,0.711,0,0,1,0,0,1
2015_12_02,0.452,0.306,0.376,0.963,0.617,0.782,0,0,0,1,0,1
2015_12_03,0.423,0.278,0.328,0.951,0.111,0.746,0,0,0,1,0,1
2015_12_04,0.392,0.295,0.342,0.926,0.185,0.581,0,0,0,1,0,1
2015_12_05,0.405,0.33,0.357,0.951,0.716,0.859,0,0,0,1,0,1
2015_12_06,0.515,0.334,0.403,0.802,0.543,0.702,0,0,0,1,0,1
2015_12_07,0.473,0.316,0.384,0.84,0.444,0.682,0,0,1,0,0,1
2015_12_08,0.449,0.304,0.366,0.728,0.543,0.608,0,0,0,1,0,1
2015_12_09,0.4,0.298,0.361,0.926,0.654,0.826,0,0,0,1,0,1
2015_12_10,0.385,0.223,0.288,0.914,0.123,0.64,0,0,0,1,0,1
2015_12_11,0.409,0.237,0.317,0.815,0.481,0.654,0,0,0,1,0,1
2015_12_12,0.438,0.247,0.343,0.877,0.605,0.744,0,0,1,0,0,1
2015_12_13,0.389,0.254,0.324,0.877,0.58,0.715,0,1,0,0,0,1
2015_12_14,0.428,0.266,0.325,0.926,0.617,0.779,0,1,0,0,0,1
2015_12_15,0.433,0.281,0.359,0.827,0.58,0.737,0,1,0,0,0,1
2015_12_16,0.541,0.371,0.456,0.864,0.605,0.764,0,0,0,1,0,1
2015_12_17,0.53,0.38,0.445,0.901,0.58,0.771,0,0,0,1,0,1
2015_12_18,0.489,0.372,0.416,0.852,0.568,0.739,0,0,1,0,0,1
2015_12_19,0.486,0.343,0.403,0.79,0.617,0.683,0,0,0,1,0,1
2015_12_20,0.471,0.307,0.391,0.84,0.568,0.671,0,0,0,1,0,1
2015_12_21,0.488,0.333,0.418,0.84,0.519,0.682,0,0,0,1,0,1
2015_12_22,0.468,0.316,0.384,0.84,0.58,0.715,0,0,0,1,0,1
2015_12_23,0.491,0.347,0.408,0.914,0.605,0.754,0,0,0,1,0,1
2015_12_24,0.506,0.317,0.413,0.914,0.395,0.693,0,0,0,1,0,1
2015_12_25,0.47,0.346,0.408,0.877,0.617,0.762,0,0,0,1,0,1
2015_12_26,0.463,0.3,0.375,0.778,0.605,0.68,0,0,0,1,0,1
2015_12_27,0.454,0.294,0.359,0.778,0.506,0.623,0,0,0,1,0,1
2015_12_28,0.442,0.218,0.323,0.741,0.198,0.493,0,0,1,0,0,1
2015_12_29,0.414,0.262,0.35,0.852,0.21,0.511,0,0,1,0,0,1
2015_12_30,0.419,0.237,0.344,0.951,0.556,0.817,0,0,0,1,0,1
2015_12_31,0.445,0.228,0.354,0.951,0.617,0.793,0,0,0,1,0,1
2016_01_01,0.385,0.315,0.344,0.963,0.691,0.811,0,0,1,0,0.5,0.866
2016_01_02,0.375,0.279,0.324,0.926,0.691,0.832,0,0,0,1,0.5,0.866
2016_01_03,0.41,0.287,0.342,0.802,0.457,0.651,0,0,0,1,0.5,0.866
2016_01_04,0.382,0.281,0.339,0.802,0.593,0.712,0,0,0,1,0.5,0.866
2016_01_05,0.389,0.258,0.325,0.938,0.568,0.732,0,0,0,1,0.5,0.866
2016_01_06,0.392,0.246,0.318,0.84,0.519,0.724,0,1,0,0,0.5,0.866
2016_01_07,0.414,0.237,0.313,0.877,0.679,0.801,0,0,0,1,0.5,0.866
2016_01_08,0.439,0.285,0.349,0.914,0.469,0.788,0,0,0,1,0.5,0.866
2016_01_09,0.465,0.325,0.382,0.963,0.679,0.859,0,0,0,1,0.5,0.866
2016_01_10,0.414,0.344,0.377,0.852,0.519,0.707,0,0,0,1,0.5,0.866
2016_01_11,0.405,0.305,0.348,0.938,0.568,0.757,0,0,0,1,0.5,0.866
2016_01_12,0.359,0.272,0.317,0.778,0.642,0.71,0,0,0,1,0.5,0.866
2016_01_13,0.296,0.197,0.259,0.79,0.679,0.734,0,0,0,1,0.5,0.866
2016_01_14,0.305,0.156,0.223,0.914,0.432,0.781,0,0,0,1,0.5,0.866
2016_01_15,0.283,0.193,0.228,0.914,0.531,0.758,0,0,0,1,0.5,0.866
2016_01_16,0.267,0.175,0.22,0.914,0.531,0.774,0,0,0,1,0.5,0.866
2016_01_17,0.24,0.116,0.186,0.938,0.407,0.697,0,1,0,0,0.5,0.866
2016_01_18,0.234,0.084,0.159,0.802,0.383,0.621,0,0,1,0,0.5,0.866
2016_01_19,0.326,0.189,0.252,0.914,0.617,0.8,1,0,0,0,0.5,0.866
2016_01_20,0.281,0.208,0.25,0.951,0.679,0.823,1,0,0,0,0.5,0.866
2016_01_21,0.293,0.168,0.213,0.951,0.469,0.745,0,1,0,0,0.5,0.866
2016_01_22,0.324,0.152,0.235,0.84,0.457,0.716,0,0,0,1,0.5,0.866
2016_01_23,0.398,0.254,0.337,0.963,0.679,0.819,0,0,1,0,0.5,0.866
2016_01_24,0.424,0.202,0.312,0.975,0.568,0.714,0,0,0,1,0.5,0.866
2016_01_25,0.466,0.296,0.377,0.654,0.259,0.485,0,0,0,1,0.5,0.866
2016_01_26,0.477,0.329,0.393,0.852,0.284,0.641,0,0,0,1,0.5,0.866
2016_01_27,0.506,0.323,0.425,0.802,0.506,0.706,0,0,0,1,0.5,0.866
2016_01_28,0.489,0.389,0.435,0.963,0.432,0.723,0,0,1,0,0.5,0.866
2016_01_29,0.426,0.339,0.379,0.963,0.704,0.813,0,0,0,1,0.5,0.866
2016_01_30,0.467,0.291,0.376,0.802,0.407,0.642,0,0,0,1,0.5,0.866
2016_01_31,0.468,0.323,0.401,0.877,0.691,0.783,0,0,0,1,0.5,0.866
2016_02_01,0.493,0.414,0.45,0.79,0.568,0.691,0,0,0,1,0.866,0.5
2016_02_02,0.498,0.394,0.439,0.802,0.531,0.676,0,0,0,1,0.866,0.5
2016_02_03,0.419,0.257,0.309,0.84,0.58,0.74,0,0,0,1,0.866,0.5
2016_02_04,0.342,0.251,0.293,0.864,0.543,0.776,0,0,1,0,0.866,0.5
2016_02_05,0.473,0.286,0.382,0.926,0.531,0.784,0,0,0,1,0.866,0.5
2016_02_06,0.533,0.209,0.343,0.963,0.272,0.714,0,0,0,1,0.866,0.5
2016_02_07,0.356,0.214,0.29,0.951,0.704,0.814,0,0,0,1,0.866,0.5
2016_02_08,0.47,0.256,0.364,0.753,0.457,0.597,0,0,0,1,0.866,0.5
2016_02_09,0.455,0.286,0.387,0.79,0.469,0.615,0,0,0,1,0.866,0.5
2016_02_10,0.332,0.212,0.26,0.84,0.506,0.699,0,0,0,1,0.866,0.5
2016_02_11,0.352,0.199,0.274,0.914,0.432,0.663,0,1,0,0,0.866,0.5
2016_02_12,0.366,0.202,0.285,0.901,0.395,0.687,0,1,0,0,0.866,0.5
2016_02_13,0.413,0.248,0.335,0.889,0.506,0.718,0,0,1,0,0.866,0.5
2016_02_14,0.381,0.306,0.33,0.864,0.654,0.737,0,0,0,1,0.866,0.5
2016_02_15,0.304,0.225,0.271,0.938,0.593,0.769,0,0,0,1,0.866,0.5
2016_02_16,0.366,0.21,0.274,0.951,0.444,0.699,1,0,0,0,0.866,0.5
2016_02_17,0.329,0.164,0.244,0.951,0.531,0.755,0,1,0,0,0.866,0.5
2016_02_18,0.429,0.211,0.3,0.926,0.358,0.685,0,1,0,0,0.866,0.5
2016_02_19,0.333,0.228,0.291,0.914,0.469,0.715,0,0,1,0,0.866,0.5
2016_02_20,0.419,0.226,0.322,0.704,0.543,0.647,0,0,0,1,0.866,0.5
2016_02_21,0.518,0.424,0.458,0.728,0.58,0.66,0,0,0,1,0.866,0.5
2016_02_22,0.533,0.388,0.451,0.827,0.506,0.679,0,0,1,0,0.866,0.5
2016_02_23,0.442,0.265,0.365,0.877,0.593,0.763,0,1,0,0,0.866,0.5
2016_02_24,0.388,0.182,0.278,0.938,0.42,0.744,1,0,0,0,0.866,0.5
2016_02_25,0.316,0.223,0.267,0.951,0.617,0.82,1,0,0,0,0.866,0.5
2016_02_26,0.367,0.185,0.265,1,0.37,0.654,1,0,0,0,0.866,0.5
2016_02_27,0.441,0.214,0.298,0.914,0.432,0.68,0,0,1,0,0.866,0.5
2016_02_28,0.404,0.188,0.289,0.938,0.605,0.81,0,0,0,1,0.866,0.5
2016_02_29,0.286,0.209,0.251,0.951,0.827,0.894,0,0,1,0,0.866,0.5
2016_03_01,0.364,0.201,0.276,0.926,0.321,0.666,0,0,0,1,1,0
2016_03_02,0.419,0.26,0.343,0.765,0.617,0.702,0,0,0,1,1,0
2016_03_03,0.313,0.213,0.273,0.877,0.667,0.783,0,0,1,0,1,0
2016_03_04,0.379,0.19,0.292,0.938,0.481,0.678,0,0,1,0,1,0
2016_03_05,0.364,0.227,0.309,0.889,0.556,0.696,0,1,0,0,1,0
2016_03_06,0.31,0.188,0.253,0.938,0.568,0.759,0,0,0,1,1,0
2016_03_07,0.346,0.195,0.271,0.889,0.358,0.629,0,1,0,0,1,0
2016_03_08,0.318,0.2,0.259,0.889,0.531,0.708,0,1,0,0,1,0
2016_03_09,0.399,0.171,0.279,0.827,0.272,0.578,0,0,0,1,1,0
2016_03_10,0.449,0.22,0.308,0.951,0.395,0.652,1,0,0,0,1,0
2016_03_11,0.448,0.21,0.305,0.938,0.346,0.727,1,0,0,0,1,0
2016_03_12,0.433,0.188,0.306,0.951,0.432,0.705,1,0,0,0,1,0
2016_03_13,0.443,0.268,0.349,0.877,0.37,0.614,0,0,1,0,1,0
2016_03_14,0.456,0.252,0.334,0.765,0.37,0.578,0,0,0,1,1,0
2016_03_15,0.414,0.172,0.265,0.951,0.494,0.771,0,1,0,0,1,0
2016_03_16,0.46,0.207,0.314,0.753,0.235,0.529,0,0,1,0,1,0
2016_03_17,0.441,0.193,0.314,0.877,0.432,0.703,0,1,0,0,1,0
2016_03_18,0.504,0.252,0.377,0.914,0.395,0.653,0,1,0,0,1,0
2016_03_19,0.473,0.287,0.371,0.914,0.543,0.698,0,0,1,0,1,0
2016_03_20,0.454,0.274,0.34,0.938,0.506,0.778,0,1,0,0,1,0
2016_03_21,0.448,0.266,0.341,0.901,0.506,0.74,1,0,0,0,1,0
2016_03_22,0.469,0.227,0.339,0.951,0.333,0.674,1,0,0,0,1,0
2016_03_23,0.417,0.189,0.312,0.938,0.543,0.726,1,0,0,0,1,0
2016_03_24,0.451,0.239,0.345,0.938,0.383,0.653,0,1,0,0,1,0
2016_03_25,0.418,0.337,0.379,0.815,0.617,0.692,0,0,1,0,1,0
2016_03_26,0.568,0.339,0.431,0.877,0.272,0.64,0,0,0,1,1,0
2016_03_27,0.472,0.286,0.403,0.901,0.407,0.589,0,0,0,1,1,0
2016_03_28,0.505,0.249,0.399,0.926,0.407,0.6,0,0,0,1,1,0
2016_03_29,0.518,0.346,0.431,0.914,0.42,0.58,0,0,0,1,1,0
2016_03_30,0.592,0.405,0.494,0.938,0.457,0.677,0,0,1,0,1,0
2016_03_31,0.706,0.307,0.518,0.951,0.272,0.579,0,1,0,0,1,0
2016_04_01,0.482,0.371,0.419,0.963,0.469,0.779,1,0,0,0,0.866,-0.5
2016_04_02,0.66,0.325,0.491,0.889,0.432,0.685,0,1,0,0,0.866,-0.5
2016_04_03,0.658,0.442,0.557,0.741,0.383,0.579,0,1,0,0,0.866,-0.5
2016_04_04,0.592,0.459,0.525,0.728,0.494,0.613,0,1,0,0,0.866,-0.5
2016_04_05,0.536,0.418,0.476,0.963,0.568,0.787,0,1,0,0,0.866,-0.5
2016_04_06,0.539,0.385,0.456,0.926,0.506,0.708,0,0,0,1,0.866,-0.5
2016_04_07,0.434,0.334,0.38,0.84,0.481,0.641,0,0,1,0,0.866,-0.5
2016_04_08,0.445,0.311,0.375,0.864,0.457,0.679,1,0,0,0,0.866,-0.5
2016_04_09,0.468,0.331,0.411,0.802,0.432,0.603,0,1,0,0,0.866,-0.5
2016_04_10,0.57,0.321,0.446,0.778,0.321,0.546,0,1,0,0,0.866,-0.5
2016_04_11,0.608,0.322,0.474,0.827,0.37,0.59,0,0,1,0,0.866,-0.5
2016_04_12,0.623,0.394,0.506,0.778,0.259,0.561,0,1,0,0,0.866,-0.5
2016_04_13,0.507,0.394,0.453,0.926,0.58,0.73,1,0,0,0,0.866,-0.5
2016_04_14,0.557,0.362,0.454,0.864,0.37,0.63,1,0,0,0,0.866,-0.5
2016_04_15,0.55,0.371,0.465,0.914,0.432,0.672,0,1,0,0,0.866,-0.5
2016_04_16,0.591,0.42,0.503,0.926,0.37,0.658,0,0,1,0,0.866,-0.5
2016_04_17,0.525,0.328,0.425,0.914,0.543,0.77,0,1,0,0,0.866,-0.5
2016_04_18,0.413,0.329,0.364,0.926,0.593,0.789,0,1,0,0,0.866,-0.5
2016_04_19,0.535,0.296,0.406,0.877,0.346,0.582,0,1,0,0,0.866,-0.5
2016_04_20,0.616,0.279,0.45,0.901,0.309,0.588,0,0,1,0,0.866,-0.5
2016_04_21,0.655,0.289,0.494,0.852,0.296,0.586,0,0,1,0,0.866,-0.5
2016_04_22,0.584,0.446,0.524,0.926,0.568,0.695,0,0,1,0,0.866,-0.5
2016_04_23,0.516,0.326,0.43,0.951,0.741,0.852,0,0,1,0,0.866,-0.5
2016_04_24,0.408,0.212,0.312,0.901,0.296,0.647,0,0,1,0,0.866,-0.5
2016_04_25,0.415,0.18,0.311,0.864,0.309,0.6,0,0,1,0,0.866,-0.5
2016_04_26,0.367,0.27,0.329,0.864,0.617,0.74,0,0,0,1,0.866,-0.5
2016_04_27,0.374,0.223,0.295,0.864,0.37,0.609,0,0,1,0,0.866,-0.5
2016_04_28,0.456,0.246,0.36,0.642,0.309,0.437,0,1,0,0,0.866,-0.5
2016_04_29,0.526,0.294,0.424,0.704,0.358,0.499,0,0,0,1,0.866,-0.5
2016_04_30,0.576,0.317,0.437,0.926,0.247,0.63,1,0,0,0,0.866,-0.5
2016_05_01,0.47,0.302,0.375,0.938,0.704,0.85,1,0,0,0,0.5,-0.866
2016_05_02,0.574,0.339,0.462,0.963,0.469,0.734,0,0,1,0,0.5,-0.866
2016_05_03,0.532,0.365,0.462,0.753,0.506,0.64,0,1,0,0,0.5,-0.866
2016_05_04,0.545,0.285,0.428,0.827,0.333,0.573,1,0,0,0,0.5,-0.866
2016_05_05,0.632,0.245,0.465,0.778,0.247,0.502,0,1,0,0,0.5,-0.866
2016_05_06,0.7,0.387,0.55,0.765,0.247,0.447,1,0,0,0,0.5,-0.866
2016_05_07,0.702,0.447,0.576,0.852,0.198,0.484,1,0,0,0,0.5,-0.866
